creator,creatorLabel,datebirth,datedeath,placebirthLabel,lat_long,placedeathLabel,lat_long_2
http://www.wikidata.org/entity/Q1527051,Girolamo Mazzola Bedoli,1500-01-01T00:00:00Z,1569-01-01T00:00:00Z,Viadana,"44.926666666667, 10.52",Parme,"44.801472222222, 10.328"
http://www.wikidata.org/entity/Q1579066,Hans Clemer,1480-01-01T00:00:00Z,1512-01-01T00:00:00Z,Aix-en-Provence,"43.527777777778, 5.4455555555556",Piémont,"45.25, 7.9166666666667"
http://www.wikidata.org/entity/Q1534936,Josse Lieferinxe,1500-01-01T00:00:00Z,1508-01-01T00:00:00Z,Enghien,"50.7, 4.0333333333333",Marseille,"43.296666666667, 5.3763888888889"
http://www.wikidata.org/entity/Q1582488,Hans Schüchlin,1440-01-01T00:00:00Z,1505-01-01T00:00:00Z,Ulm,"48.4, 9.9833333333333",Ulm,"48.4, 9.9833333333333"
http://www.wikidata.org/entity/Q1527962,Giulio Bonasone,1510-01-01T00:00:00Z,1574-01-01T00:00:00Z,Bologne,"44.493888888889, 11.342777777778",Bologne,"44.493888888889, 11.342777777778"
http://www.wikidata.org/entity/Q1527962,Giulio Bonasone,1510-01-01T00:00:00Z,1576-01-01T00:00:00Z,Bologne,"44.493888888889, 11.342777777778",Bologne,"44.493888888889, 11.342777777778"
http://www.wikidata.org/entity/Q1598117,Heinrich Königswieser,1530-01-01T00:00:00Z,1583-01-01T00:00:00Z,Königsberg,"54.716666666667, 20.516666666667",Königsberg,"54.716666666667, 20.516666666667"
http://www.wikidata.org/entity/Q1617909,Vincenzo degli Azani,1486-01-01T00:00:00Z,1557-07-16T00:00:00Z,Pavie,"45.185280555556, 9.155",Palerme,"38.115658, 13.361262"
http://www.wikidata.org/entity/Q1610244,Antonio Solario,1465-01-01T00:00:00Z,1514-01-01T00:00:00Z,Civita d'Antino,"41.886666666667, 13.4725",Naples,"40.833333333333, 14.25"
http://www.wikidata.org/entity/Q1579636,Hans Fyoll,1460-01-01T00:00:00Z,1531-01-01T00:00:00Z,Francfort-sur-le-Main,"50.113611111111, 8.6797222222222",Francfort-sur-le-Main,"50.113611111111, 8.6797222222222"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105",Chine,"35.0, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105",Chine,"35.0, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105.0",Chine,"35.0, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105.0",Chine,"35.0, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105",Chine,"35, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105",Chine,"35, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105.0",Chine,"35, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105.0",Chine,"35, 105.0"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105",Chine,"35.0, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105",Chine,"35.0, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105.0",Chine,"35.0, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105.0",Chine,"35.0, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105",Chine,"35, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105",Chine,"35, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35, 105.0",Chine,"35, 105"
http://www.wikidata.org/entity/Q1555109,Xu Guo,1456-01-01T00:00:00Z,1526-01-01T00:00:00Z,Chine,"35.0, 105.0",Chine,"35, 105"
http://www.wikidata.org/entity/Q1624026,Riccardo Quartararo,1443-01-01T00:00:00Z,1506-01-01T00:00:00Z,Sciacca,"37.509166666667, 13.088888888889",Palerme,"38.115658, 13.361262"
http://www.wikidata.org/entity/Q1397369,Jan van Calcar,1500-01-01T00:00:00Z,1546-01-01T00:00:00Z,Clèves,"51.7875, 6.1352777777778",Naples,"40.833333333333, 14.25"
